sqft,bedrooms,bathrooms,neighborhood,year_built,has_garden,floors,garage_capacity,condition,price
1191,1,1.5,Suburb,1956,0,2,2,3,241400.0
4361,2,1.0,Urban,1999,1,2,1,5,1000600.0
3078,4,3.0,Urban,2014,1,1,2,3,830100.0
3899,1,2.5,Downtown,2016,0,2,2,5,1107100.0
1000,3,3.0,Waterfront,1993,1,1,1,3,599700.0
3904,3,2.5,Downtown,1980,1,1,0,3,1104200.0
3254,2,3.0,Urban,1992,1,1,2,3,802600.0
4445,4,2.0,Suburb,1997,1,1,1,3,800100.0
1604,4,2.5,Rural,2010,1,1,0,3,377300.0
3531,4,3.5,Waterfront,2024,0,2,1,3,1475900.0
3573,2,2.5,Suburb,1959,0,1,2,3,613400.0
2370,4,1.5,Suburb,1978,1,1,2,3,522700.0
3490,3,2.0,Urban,1997,1,1,0,2,834500.0
4640,1,1.5,Suburb,2011,1,2,1,5,850400.0
1828,3,1.5,Urban,1962,1,2,2,4,528200.0
1302,3,2.0,Urban,1993,1,1,2,5,468100.0
1670,1,2.5,Suburb,1996,1,2,1,4,416400.0
1006,3,2.5,Downtown,2013,1,2,2,4,538700.0
2284,2,2.0,Suburb,2002,1,1,1,3,454200.0
1663,1,2.5,Suburb,2025,0,2,1,2,363000.0
3590,3,1.0,Urban,1993,0,2,3,2,820200.0
1363,5,1.0,Urban,1977,0,2,3,3,469400.0
4991,3,1.5,Downtown,1951,1,1,1,4,1307600.0
2557,2,2.0,Suburb,2006,0,1,0,2,474100.0
2478,4,1.5,Urban,2006,1,1,1,5,687000.0
4042,3,2.0,Suburb,1983,0,2,0,3,757800.0
1859,4,2.0,Waterfront,2007,1,2,0,4,868100.0
2522,5,3.0,Suburb,2001,0,1,1,2,565700.0
4114,3,1.0,Urban,1978,0,1,3,3,910700.0
3957,1,2.5,Rural,1984,1,2,2,5,641700.0
3425,4,2.5,Suburb,2024,1,2,2,3,742000.0
3529,5,3.0,Suburb,1997,1,2,2,3,793200.0
2397,1,3.5,Downtown,1982,1,2,0,2,751300.0
3860,1,1.0,Urban,2024,0,2,1,2,806000.0
3493,1,1.5,Waterfront,2022,0,1,0,3,1181400.0
4427,1,3.0,Suburb,1958,1,1,2,3,786500.0
2163,3,2.0,Suburb,1997,1,1,0,3,459600.0
2781,3,2.5,Rural,2016,1,2,2,3,476700.0
2463,3,2.5,Downtown,1985,1,1,2,2,778300.0
2329,5,2.5,Suburb,2020,1,1,1,4,605200.0
2838,5,3.5,Downtown,1993,0,1,0,4,1000900.0
4102,5,4.0,Waterfront,2009,1,1,2,1,1646600.0
3037,2,2.5,Waterfront,2012,1,2,3,3,1179900.0
2106,5,2.0,Urban,1954,1,1,2,2,573900.0
4829,3,3.0,Urban,2025,0,1,1,4,1100700.0
3475,3,1.0,Downtown,1989,0,2,2,4,970800.0
2082,2,1.5,Rural,1968,0,1,1,5,402300.0
1509,2,3.0,Urban,1996,0,2,3,3,520800.0
4548,5,2.0,Rural,2014,1,2,2,3,726900.0
1463,4,1.5,Suburb,2016,0,3,2,2,390700.0
2798,2,1.5,Suburb,1967,0,2,1,3,505100.0
4245,1,3.0,Suburb,1999,0,1,2,3,798700.0
4543,3,2.0,Suburb,1979,1,2,1,2,854200.0
2295,1,2.5,Suburb,2015,1,1,0,4,491600.0
4104,3,1.5,Urban,1954,0,1,1,3,894000.0
4563,3,3.0,Rural,1991,0,1,3,4,730500.0
2653,2,3.0,Urban,1954,0,1,2,3,655700.0
2091,2,2.0,Suburb,1999,1,2,0,5,494500.0
4381,1,2.0,Urban,2007,0,1,2,5,995600.0
4257,3,1.5,Urban,1957,1,2,1,5,995800.0
2436,1,4.0,Urban,1980,1,1,1,4,630700.0
4496,4,2.5,Urban,1961,0,1,1,4,1044400.0
3799,1,3.5,Suburb,1970,1,3,2,3,720500.0
3952,5,2.0,Downtown,2011,0,1,2,2,1170400.0
1498,1,3.0,Suburb,1982,1,2,1,4,371600.0
2960,5,3.0,Suburb,1975,0,1,2,4,642600.0
4897,5,2.5,Urban,1989,1,1,1,5,1176500.0
1654,5,4.0,Rural,2014,1,1,2,3,438600.0
4274,4,2.0,Urban,2008,1,2,0,3,1008200.0
2507,1,1.5,Urban,1964,0,1,2,4,569800.0
3577,1,2.5,Suburb,1950,0,1,2,5,690000.0
2533,4,2.5,Rural,1960,1,1,2,2,428600.0
4310,3,2.5,Rural,2004,1,2,1,3,666300.0
1002,2,1.5,Waterfront,1951,1,2,2,3,461200.0
4055,1,2.0,Urban,2014,0,2,0,2,881600.0
1566,2,2.0,Rural,1993,0,1,2,1,249000.0
3127,4,2.0,Suburb,1965,1,2,0,3,633700.0
3731,3,2.5,Urban,1971,0,2,0,4,851700.0
997,3,2.5,Downtown,1967,0,2,2,1,432000.0
2730,3,1.5,Rural,1996,0,2,2,3,423100.0
4382,4,2.0,Suburb,1979,1,2,0,4,833300.0
1408,5,2.0,Downtown,1959,1,1,3,5,653600.0
4072,5,1.5,Rural,2007,1,2,3,5,680200.0
1947,2,3.0,Suburb,2011,0,3,2,3,488200.0
4197,5,3.5,Waterfront,1955,1,1,1,5,1675700.0
3311,5,2.0,Urban,2016,1,1,2,1,842300.0
2594,3,3.0,Suburb,1990,0,3,1,4,609500.0
1459,3,3.0,Rural,1992,1,1,1,3,321700.0
3611,2,3.0,Rural,1967,1,2,3,3,554100.0
2169,1,1.5,Suburb,2007,0,1,3,3,434900.0
2786,2,4.0,Downtown,2009,1,1,3,2,906800.0
946,2,2.0,Suburb,1976,0,1,1,4,262300.0
4019,4,2.0,Urban,2017,1,1,1,3,1016400.0
3711,4,1.0,Waterfront,1971,0,1,1,3,1333400.0
2534,2,2.0,Suburb,1973,0,1,1,2,492200.0
2643,2,1.5,Suburb,1989,0,2,1,3,513900.0
1288,2,1.5,Urban,2023,1,3,1,5,499600.0
3776,5,2.0,Waterfront,2015,1,1,2,4,1489300.0
2759,4,3.0,Downtown,1989,1,2,2,5,965600.0
3185,2,3.0,Rural,1955,1,2,2,3,497700.0
3719,3,2.0,Urban,1967,1,2,2,2,853600.0
2602,3,3.0,Urban,1979,0,2,0,3,688400.0
4861,5,3.0,Waterfront,1970,1,1,0,3,1810500.0
4169,5,3.0,Rural,2011,0,1,2,2,681800.0
1062,1,1.5,Urban,1959,0,1,2,4,329000.0
1423,1,2.5,Downtown,1962,1,1,2,3,447200.0
1816,1,3.5,Suburb,2025,0,2,0,2,397000.0
4443,5,2.5,Suburb,1958,0,1,1,3,791500.0
2849,5,2.0,Rural,2017,1,2,2,3,528000.0
4523,5,2.0,Suburb,1988,1,3,2,4,919000.0
3908,3,2.5,Suburb,1973,1,3,3,3,771900.0
4890,5,2.0,Waterfront,1983,1,3,2,3,1796100.0
2856,3,1.5,Suburb,2010,1,1,2,2,566000.0
3970,1,2.0,Suburb,1990,1,2,2,5,755500.0
2482,1,3.0,Urban,1954,0,1,2,5,620400.0
3055,1,3.0,Suburb,1999,0,2,2,4,632700.0
1954,2,1.5,Suburb,1953,1,2,3,1,359000.0
3991,2,4.0,Urban,2000,0,2,2,3,1014600.0
2496,4,2.0,Downtown,2001,1,1,3,3,828900.0
4791,4,2.5,Urban,1988,1,2,1,5,1169300.0
2448,4,3.0,Urban,1957,0,1,2,5,719500.0
2245,2,3.0,Rural,1994,0,1,2,4,381500.0
4999,2,3.5,Waterfront,1977,0,2,0,2,1757900.0
4723,4,2.0,Rural,1976,0,1,2,5,746800.0
1053,4,3.0,Downtown,2014,0,3,0,3,535600.0
3983,5,1.5,Suburb,1983,1,1,2,4,776800.0
3357,4,2.5,Waterfront,2011,1,2,2,3,1342300.0
898,5,2.5,Urban,2011,1,1,0,3,400000.0
3000,3,2.5,Downtown,1987,0,2,1,3,876700.0
3761,2,2.0,Suburb,1975,0,2,2,2,643900.0
4577,4,3.0,Suburb,1973,1,3,2,3,864200.0
3669,2,1.5,Urban,1988,1,1,1,4,831100.0
4034,2,1.0,Downtown,1970,1,3,2,1,1021200.0
4591,2,2.5,Rural,1996,1,1,2,2,683700.0
1756,3,2.0,Waterfront,1997,1,1,2,2,792300.0
4867,1,3.0,Downtown,1962,1,1,0,3,1238900.0
960,4,2.0,Suburb,1952,0,2,3,5,342000.0
2100,1,1.5,Downtown,1981,1,1,0,2,576100.0
4787,1,3.0,Urban,1984,0,2,2,2,1038000.0
2327,1,2.0,Suburb,1968,1,2,2,5,502600.0
2018,2,1.5,Suburb,1963,1,1,1,4,400500.0
3904,5,2.5,Urban,1997,0,3,2,1,977200.0
3535,2,2.0,Urban,2017,0,1,1,4,842600.0
1754,2,2.5,Suburb,1994,0,2,2,4,431800.0
4246,1,2.0,Urban,1968,0,1,2,4,939300.0
1845,2,3.0,Urban,2013,0,2,2,3,548100.0
2493,1,3.0,Urban,2015,0,1,2,5,686300.0
4236,5,2.5,Rural,2015,0,1,2,1,685200.0
1362,4,1.5,Downtown,2024,0,1,2,3,555100.0
3285,1,3.0,Suburb,1994,1,1,2,3,623400.0
4154,5,2.5,Suburb,2023,0,1,1,3,847100.0
1025,4,2.5,Suburb,2016,0,1,2,5,438000.0
1759,3,2.0,Suburb,2018,1,1,3,3,451600.0
3867,1,3.0,Downtown,1952,1,2,1,1,1018900.0
1615,1,2.5,Suburb,1987,1,2,1,3,372100.0
3920,3,1.5,Urban,1991,0,2,1,3,902500.0
816,3,2.0,Rural,1989,1,2,1,5,271600.0
2043,1,3.0,Suburb,1999,1,2,0,3,431900.0
3005,3,1.0,Waterfront,1984,1,2,1,3,1103400.0
3324,2,4.0,Downtown,1973,1,1,1,4,999100.0
1869,4,2.5,Suburb,1966,1,2,2,4,484700.0
4244,4,2.5,Urban,1989,1,1,1,3,1053200.0
3365,4,2.0,Suburb,2023,1,2,2,3,721200.0
1860,2,1.5,Suburb,2015,1,2,2,4,435100.0
3127,3,3.5,Downtown,1993,1,1,3,4,1026700.0
4220,5,2.0,Downtown,1972,1,2,2,4,1246000.0
1101,3,3.0,Suburb,1955,0,1,0,5,334900.0
1406,1,2.0,Waterfront,2015,1,1,3,4,628700.0
3970,4,1.5,Urban,1970,0,1,2,4,947700.0
1499,3,1.0,Suburb,1984,1,2,1,5,393600.0
1939,5,2.0,Urban,1978,1,2,0,2,554000.0
990,1,4.0,Urban,1956,0,2,0,3,357100.0
3100,2,2.0,Urban,2002,1,1,0,3,765100.0
1780,2,2.0,Suburb,1986,0,2,0,3,366700.0
3775,5,2.0,Urban,1972,0,2,3,4,983400.0
1984,1,2.0,Suburb,1957,0,1,2,4,400400.0
4127,4,2.0,Downtown,2025,0,2,2,4,1237100.0
4194,3,3.0,Urban,1997,0,1,2,5,1060800.0
927,1,2.0,Rural,1959,1,1,2,3,178600.0
2865,2,2.0,Downtown,1973,1,1,2,4,840600.0
2616,5,1.5,Waterfront,1996,0,2,3,3,1116700.0
1369,5,4.0,Waterfront,2002,1,1,1,3,862500.0
2695,3,1.5,Suburb,1988,0,1,3,2,530000.0
3533,5,1.0,Rural,2016,0,1,2,4,586900.0
4663,5,2.5,Urban,2015,0,1,0,3,1155300.0
4814,1,2.5,Rural,1955,1,1,2,4,669900.0
3701,4,2.0,Waterfront,1970,1,1,2,3,1362400.0
2486,3,2.0,Suburb,2022,0,2,3,3,586100.0
3809,1,3.0,Suburb,2023,0,1,1,3,702700.0
954,4,1.5,Suburb,1985,0,2,2,3,283500.0
3337,1,3.0,Suburb,1952,1,2,0,5,656000.0
2209,1,2.5,Downtown,1991,1,1,1,1,647300.0
4857,5,2.0,Suburb,1994,0,1,0,5,952800.0
1584,4,2.0,Suburb,1993,1,2,2,5,462600.0
3975,3,2.0,Suburb,1982,0,1,2,5,776600.0
3606,3,3.0,Urban,2009,1,1,1,3,900200.0
1337,4,2.0,Rural,2019,1,1,2,5,400500.0
2641,5,2.0,Urban,1975,1,2,1,3,723600.0
3255,2,2.5,Urban,1970,1,2,0,1,730800.0
1324,1,4.0,Urban,1951,1,3,2,3,459500.0
3750,5,2.0,Waterfront,1996,0,2,0,5,1465000.0
4931,4,3.5,Waterfront,1979,0,1,2,1,1784900.0
4915,1,2.0,Waterfront,1976,1,1,0,3,1593900.0
3168,3,1.0,Suburb,2020,0,1,0,2,596500.0
4647,2,1.5,Rural,1969,0,1,2,3,634600.0
3501,3,2.0,Suburb,1999,1,1,2,2,661100.0
1771,4,1.5,Downtown,1972,1,1,0,4,611900.0
1966,1,1.0,Waterfront,1962,1,1,2,3,684200.0
3574,4,3.5,Downtown,1953,1,1,2,5,1135200.0
2782,1,3.0,Rural,1963,1,1,2,4,469900.0
1653,5,2.5,Waterfront,1969,0,3,0,5,914100.0
4946,2,1.5,Suburb,1962,1,2,2,3,837100.0
4536,5,1.5,Rural,1952,1,3,2,3,719000.0
4569,5,1.0,Suburb,1996,0,1,0,3,841400.0
1374,4,2.5,Rural,1952,0,1,2,3,283800.0
4061,2,3.5,Urban,1950,0,1,3,4,939200.0
1948,1,2.0,Suburb,1973,1,1,2,3,395300.0
2515,1,1.5,Suburb,1984,1,1,2,4,483400.0
4654,3,2.0,Urban,1963,1,3,2,4,1099900.0
3291,1,2.0,Downtown,2016,1,3,2,2,934600.0
3460,4,2.0,Urban,1962,0,1,2,4,874500.0
3924,5,2.5,Suburb,1996,1,1,2,2,769000.0
3851,5,2.5,Downtown,1999,1,1,2,3,1219200.0
804,5,1.5,Waterfront,1975,0,1,1,4,570300.0
1676,2,1.0,Rural,1952,1,1,1,5,304700.0
1791,1,4.0,Urban,2000,0,1,2,1,533300.0
4942,4,1.5,Suburb,1989,1,1,0,2,869300.0
1435,2,1.0,Rural,2017,1,1,2,2,280300.0
2493,3,1.5,Urban,1985,1,1,3,3,645500.0
2482,4,1.0,Downtown,2000,1,1,2,4,808100.0
919,4,2.0,Suburb,1950,0,1,3,4,324800.0
1630,4,3.0,Downtown,1982,1,3,2,4,726800.0
4475,5,2.0,Downtown,1956,0,1,0,4,1227200.0
2169,4,2.0,Waterfront,2001,1,2,2,3,968800.0
1540,1,2.5,Suburb,1960,1,2,1,2,341600.0
916,4,2.0,Waterfront,1976,1,3,1,2,585000.0
3638,5,3.0,Suburb,1963,0,2,1,4,767600.0
1950,4,3.0,Urban,1995,1,2,1,4,656000.0
2731,3,1.0,Rural,2025,1,2,1,4,465900.0
1812,3,3.0,Rural,1959,1,1,1,3,353100.0
2464,5,2.0,Urban,1973,0,1,2,3,686400.0
1881,1,4.0,Suburb,2010,0,3,2,5,528700.0
1312,1,2.0,Suburb,1967,0,2,1,2,261300.0
3649,2,4.0,Suburb,1958,1,3,1,4,761500.0
1359,5,3.0,Urban,1966,1,2,2,3,526900.0
4472,4,1.5,Rural,2007,1,2,2,1,655000.0
4143,5,2.0,Downtown,1962,0,2,3,4,1261400.0
4870,2,4.0,Rural,1999,0,2,0,3,706800.0
2270,5,3.0,Suburb,1955,1,2,2,4,551100.0
1380,5,1.0,Suburb,2000,1,3,2,4,448600.0
3094,2,2.5,Suburb,1985,1,2,2,3,602400.0
3947,1,2.0,Suburb,2020,1,2,0,4,705500.0
2479,4,1.0,Suburb,1974,1,2,1,3,531100.0
4306,2,2.0,Waterfront,1960,1,1,1,3,1482500.0
3544,3,1.5,Urban,1993,1,1,1,4,822000.0
4156,1,3.0,Rural,1963,1,3,2,3,595800.0
4845,3,2.0,Suburb,1978,0,2,2,1,814800.0
2043,1,3.0,Downtown,2023,0,1,2,5,697800.0
3918,4,1.0,Suburb,1999,0,1,2,3,764900.0
2941,4,2.0,Rural,1954,1,2,2,4,501600.0
3859,5,1.5,Downtown,2021,0,2,1,4,1182000.0
3759,3,1.5,Urban,2018,0,2,3,3,920600.0
3065,1,1.0,Urban,2006,0,2,2,3,708500.0
3279,4,1.5,Rural,1975,1,1,1,3,497400.0
2435,2,2.5,Rural,1955,0,1,1,3,369000.0
2557,4,2.0,Urban,1965,1,1,2,4,691700.0
2870,2,2.0,Suburb,2009,0,2,2,4,611400.0
3649,1,2.0,Urban,1961,0,1,0,2,764800.0
4051,4,3.0,Urban,2024,1,2,2,3,1091800.0
4530,4,3.5,Suburb,1952,0,2,2,5,910000.0
3289,1,2.0,Waterfront,2012,0,2,2,3,1174000.0
2431,4,2.0,Downtown,2013,0,3,0,4,849800.0
3616,2,1.5,Urban,2011,1,1,1,4,856000.0
1815,4,4.0,Rural,1955,1,2,3,3,443800.0
2148,3,1.0,Rural,1968,0,1,2,3,334100.0
3887,5,2.0,Suburb,1967,0,1,1,4,756600.0
3639,2,2.0,Suburb,1992,1,1,0,3,686100.0
1135,3,2.0,Waterfront,2022,1,1,1,3,627100.0
1695,1,1.5,Suburb,1952,1,2,1,4,357500.0
4346,2,3.0,Suburb,2021,1,2,2,4,872800.0
1651,5,1.5,Suburb,1987,1,1,3,3,457100.0
2487,5,2.5,Urban,2017,1,1,1,2,702200.0
2731,1,1.5,Rural,2025,1,2,0,3,424300.0
4546,1,1.0,Suburb,1993,1,2,2,3,733500.0
3227,2,3.5,Suburb,2012,0,1,0,3,636300.0
2368,4,1.5,Downtown,1991,1,2,3,3,804800.0
4800,1,3.0,Rural,2013,1,2,2,2,708700.0
3538,4,2.0,Waterfront,2003,0,2,3,3,1359600.0
4298,3,1.0,Downtown,2020,1,1,0,3,1169300.0
4713,5,4.0,Suburb,2025,1,2,0,3,990700.0
1866,4,1.5,Downtown,1986,1,2,1,3,681800.0
3244,5,3.0,Rural,1953,1,2,1,3,572000.0
4907,4,1.5,Waterfront,1951,1,2,1,5,1743800.0
4173,3,3.0,Urban,1993,0,3,3,2,1050700.0
4769,1,1.0,Suburb,2016,1,1,2,4,830100.0
3346,3,2.0,Suburb,2017,1,3,2,5,728400.0
1553,1,3.0,Rural,2025,0,2,0,3,344000.0
2882,1,3.5,Waterfront,2023,0,2,2,4,1179300.0
3574,5,3.5,Rural,2011,1,1,2,2,651700.0
3696,3,3.0,Urban,1950,0,1,1,3,881900.0
4985,4,3.0,Suburb,1966,1,2,3,3,992300.0
1575,3,1.5,Waterfront,1965,0,2,0,1,622200.0
2425,5,2.0,Suburb,1958,0,1,1,3,514400.0
3869,1,2.0,Urban,2002,1,2,0,3,858400.0
1217,5,2.0,Suburb,2022,0,1,2,4,411200.0
914,2,2.0,Urban,2008,1,3,2,5,386700.0
1416,2,2.0,Rural,1958,1,2,1,2,247100.0
4774,4,1.5,Suburb,1961,0,1,0,3,839600.0
4067,5,2.5,Suburb,1990,0,2,0,3,795800.0
1625,4,1.5,Urban,1964,0,3,0,3,463000.0
2316,4,2.0,Suburb,2015,0,1,1,4,539700.0
3946,2,2.0,Urban,2024,1,2,1,3,944500.0
1212,4,3.0,Suburb,1960,1,1,1,1,297900.0
1528,2,2.5,Downtown,1957,0,2,2,4,592600.0
4148,1,2.5,Waterfront,2004,1,1,2,4,1439600.0
3608,5,1.5,Urban,1955,0,1,2,3,851700.0
1475,4,2.0,Suburb,2002,0,1,0,3,396700.0
4265,2,1.0,Suburb,1969,0,1,1,2,703400.0
3304,3,2.0,Rural,1988,1,2,1,3,546600.0
3767,4,2.0,Suburb,2021,1,1,0,3,734000.0
3586,1,1.0,Urban,1983,1,1,0,3,733200.0
1922,1,2.0,Urban,2006,0,2,2,5,532500.0
4879,3,4.0,Waterfront,1968,0,1,3,3,1795500.0
2371,2,4.0,Suburb,2020,1,2,0,2,554000.0
2943,4,2.0,Urban,1980,1,3,1,3,763800.0
2487,2,1.0,Suburb,1989,1,2,3,3,469800.0
4932,1,1.5,Urban,1963,0,1,0,3,1007300.0
4651,2,2.0,Suburb,1986,0,1,2,3,813400.0
4240,1,3.5,Suburb,1993,1,3,3,3,848700.0
4566,2,1.5,Suburb,1958,1,1,3,3,784300.0
3126,3,3.0,Urban,2007,1,1,1,3,823600.0
3714,5,1.5,Waterfront,1969,1,1,0,2,1404700.0
4752,3,4.0,Suburb,1999,1,1,1,1,865000.0
1395,3,2.0,Rural,1969,1,2,2,3,283400.0
1528,5,3.0,Suburb,1985,1,2,3,2,444200.0
2165,5,2.0,Urban,1976,1,3,2,3,705800.0
1498,4,2.5,Suburb,2021,1,2,2,4,475600.0
1195,4,1.5,Downtown,1981,0,1,2,4,515600.0
4971,3,1.5,Waterfront,1950,0,1,2,3,1610900.0
3302,3,3.5,Waterfront,1966,1,3,2,4,1368000.0
2619,1,3.5,Suburb,1958,1,1,2,3,519400.0
1517,1,3.0,Downtown,1994,1,1,2,4,587300.0
3582,4,2.5,Urban,2015,0,3,1,3,944000.0
4377,4,3.0,Suburb,1981,0,2,2,3,853200.0
943,1,1.0,Urban,1994,1,1,1,3,293200.0
3940,1,2.0,Downtown,1958,0,2,1,2,1018600.0
3738,2,2.0,Suburb,1979,0,3,2,5,771600.0
4436,2,2.5,Suburb,1987,0,1,2,2,793900.0
4022,1,2.0,Suburb,2009,1,2,3,3,749600.0
1967,2,1.5,Urban,1950,0,1,0,3,452200.0
3416,5,2.5,Suburb,1954,1,2,2,2,687900.0
1862,4,3.0,Waterfront,2012,1,3,1,2,942200.0
2956,4,2.0,Urban,1985,1,3,3,1,754800.0
3782,1,1.5,Urban,2014,1,1,0,3,817800.0
4094,3,1.5,Rural,2022,0,1,2,4,680700.0
1956,1,1.5,Urban,1973,0,1,2,3,461300.0
1532,2,2.0,Rural,1953,0,2,1,2,234600.0
1753,3,2.5,Rural,2017,1,1,3,3,363600.0
3339,2,2.5,Urban,1974,0,1,2,5,819000.0
4124,5,2.5,Suburb,2023,0,1,1,3,849800.0
4101,2,2.0,Urban,1956,1,1,0,3,885900.0
2342,5,3.0,Rural,1962,0,1,1,5,467100.0
1991,5,1.5,Suburb,2017,0,2,1,2,484600.0
3793,2,2.0,Suburb,1992,1,1,2,3,711500.0
3481,2,3.0,Waterfront,2006,1,1,3,3,1344200.0
2017,5,1.5,Urban,1985,0,2,0,5,634400.0
2340,3,1.5,Urban,1963,0,2,1,5,618700.0
4036,5,3.0,Suburb,2021,1,1,2,4,876200.0
3186,4,2.0,Rural,1976,0,1,0,3,488200.0
4519,5,2.5,Waterfront,1986,1,2,1,3,1724600.0
2188,3,1.0,Suburb,2020,0,1,1,3,474900.0
2656,4,2.5,Suburb,2025,1,2,2,4,646600.0
2165,1,2.0,Urban,1974,0,1,2,5,551500.0
1299,1,1.0,Rural,2016,1,1,2,3,232300.0
2480,3,2.5,Downtown,1953,0,1,0,4,732800.0
1310,5,1.5,Urban,2023,1,2,2,2,466800.0
2124,2,2.0,Suburb,1965,0,3,2,3,433800.0
1955,3,1.0,Rural,1968,0,1,2,3,300900.0
2627,4,1.5,Suburb,1978,1,2,1,3,561300.0
3941,4,2.0,Downtown,2000,1,1,2,3,1126900.0
4286,1,1.0,Urban,1967,1,1,2,1,841700.0
2610,4,3.5,Suburb,2007,1,2,1,4,667300.0
3723,3,1.0,Rural,1993,1,1,1,4,550900.0
3014,4,2.0,Urban,1965,1,3,3,5,832500.0
4986,3,1.5,Urban,2014,1,2,2,4,1132900.0
1513,2,2.0,Suburb,1951,1,3,3,3,354600.0
4402,1,3.5,Suburb,2005,0,2,2,3,856200.0
4934,4,1.5,Suburb,1977,1,1,2,5,942400.0
